,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
5,roberta-base,0,20000,5,None,storycloze,0.7628099173553718,0.0364052870033318,424.7965906522293
6,roberta-base,0,20000,5,None,yahoo,0.40248,0.02321249663435624,226.37591410327695
7,roberta-base,32,20000,5,None,amazon_p,0.92628,0.006164414002968977,156.88228021220806
8,roberta-base,32,20000,5,None,copa,0.71776,0.01201332593414497,538.0755439886393
9,roberta-base,32,20000,5,None,emotion,0.45694,0.03149603149604723,126.19942074976828
10,roberta-base,32,20000,5,None,figqa,0.5955758683729433,0.01509195855032207,552.0236904783119
11,roberta-base,32,20000,5,None,mrpc,0.671304347826087,0.026491294793818055,723.6242847171516
12,roberta-base,32,20000,5,None,storycloze,0.7559090909090909,0.03506892868190089,420.69865609518894
13,roberta-base,32,20000,5,None,yahoo,0.39184,0.02669007306097156,226.85518865993066
14,roberta-base,200,20000,5,None,amazon_p,0.92756,0.0034438350715445118,156.6964722024429
15,roberta-base,200,20000,5,None,copa,0.71824,0.013047605144240079,533.7579843033636
16,roberta-base,200,20000,5,None,emotion,0.4577,0.037015199580712775,126.18119869444745
17,roberta-base,200,20000,5,None,figqa,0.5961608775137112,0.012122464095137404,550.7674815898829
18,roberta-base,200,20000,5,None,mrpc,0.6622840579710145,0.048509998060020966,720.6770473661079
19,roberta-base,200,20000,5,None,storycloze,0.768099173553719,0.03739583807978506,423.56197513344733
20,roberta-base,200,20000,5,None,yahoo,0.40456000000000003,0.017203488018422308,222.30883210993687
21,roberta-base,500,20000,5,None,amazon_p,0.9276,0.003744329045369811,156.2940987231177
22,roberta-base,500,20000,5,None,copa,0.71744,0.011760952342391329,533.116626165189
23,roberta-base,500,20000,5,None,emotion,0.45649999999999996,0.03751812895121503,125.84447821383806
24,roberta-base,500,20000,5,None,figqa,0.5991956124314443,0.012711913028294318,552.1002526827148
25,roberta-base,500,20000,5,None,mrpc,0.6541217391304347,0.06552591756485228,710.1141229564206
26,roberta-base,500,20000,5,None,storycloze,0.7495867768595041,0.027845843948481733,421.0481455558669
27,roberta-base,500,20000,5,None,yahoo,0.39896000000000004,0.023045606956641426,226.59880588298188
