,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,10000,5,None,amazon_p,0.9226800000000001,0.005440588203494182,170.09829032572463
1,roberta-base,0,10000,5,None,copa,0.7068,0.013056798995159583,684.9274314997778
2,roberta-base,0,10000,5,None,emotion,0.47458,0.03433540446827445,162.01321528984369
3,roberta-base,0,10000,5,None,figqa,0.5989031078610603,0.009431394453323657,702.5547408470062
4,roberta-base,0,10000,5,None,mrpc,0.6655304347826088,0.039595178972415226,772.9579512310677
5,roberta-base,0,10000,5,None,storycloze,0.7411157024793389,0.060093251362923684,462.97236214303086
6,roberta-base,0,10000,5,None,yahoo,0.39224000000000003,0.020345023961647227,287.2412914259922
7,roberta-base,32,10000,5,None,amazon_p,0.92348,0.006893475175845641,170.10193126520298
8,roberta-base,32,10000,5,None,copa,0.71336,0.013041472309520878,686.7735912187568
9,roberta-base,32,10000,5,None,emotion,0.48066000000000003,0.033204969507590276,163.18385463283803
10,roberta-base,32,10000,5,None,figqa,0.5911151736745887,0.01773120478496341,703.3266847613502
11,roberta-base,32,10000,5,None,mrpc,0.6710724637681159,0.03425650429533699,772.7799725501978
12,roberta-base,32,10000,5,None,storycloze,0.734297520661157,0.05328195540138702,457.0607369793458
13,roberta-base,32,10000,5,None,yahoo,0.38276,0.02679290950979382,288.67026198036683
14,roberta-base,200,10000,5,None,amazon_p,0.9228799999999999,0.005400000000000005,170.52318978819937
15,roberta-base,200,10000,5,None,copa,0.7055999999999999,0.014096808149364886,679.924959268507
16,roberta-base,200,10000,5,None,emotion,0.47780000000000006,0.03776929970227143,162.86425283512918
17,roberta-base,200,10000,5,None,figqa,0.5887751371115174,0.018012647805124085,702.0278580475606
18,roberta-base,200,10000,5,None,mrpc,0.6650434782608695,0.02956896821902131,775.447265539841
19,roberta-base,200,10000,5,None,storycloze,0.7483884297520661,0.04577530513505766,464.6909049957641
20,roberta-base,200,10000,5,None,yahoo,0.38567999999999997,0.02428991560298224,289.38021335313806
21,roberta-base,500,10000,5,None,amazon_p,0.92344,0.005453439281774397,170.64112530108648
22,roberta-base,500,10000,5,None,copa,0.7123999999999999,0.013398507379555374,680.3546674172064
23,roberta-base,500,10000,5,None,emotion,0.48900000000000005,0.04052511566917484,162.59152681243032
24,roberta-base,500,10000,5,None,figqa,0.5936745886654479,0.01812455453119429,702.9358499890957
25,roberta-base,500,10000,5,None,mrpc,0.6677565217391305,0.03681967274130974,769.7420162472798
26,roberta-base,500,10000,5,None,storycloze,0.7452892561983472,0.06281926175596984,461.6785217788879
27,roberta-base,500,10000,5,None,yahoo,0.38496,0.025528807257684406,289.004488633691
28,roberta-base,1000,10000,5,None,amazon_p,0.9250800000000001,0.00480416485978573,170.0941078748766
29,roberta-base,1000,10000,5,None,copa,0.7077600000000001,0.013617635624439368,682.9704029137728
30,roberta-base,1000,10000,5,None,emotion,0.47572000000000003,0.037268552426945704,162.54096642384857
31,roberta-base,1000,10000,5,None,figqa,0.5869104204753199,0.018202296280010324,701.8395056542405
32,roberta-base,1000,10000,5,None,mrpc,0.6729971014492754,0.03632706339014433,778.7763456508869
33,roberta-base,1000,10000,5,None,storycloze,0.7335123966942149,0.06544712971389746,455.07753935037
34,roberta-base,1000,10000,5,None,yahoo,0.38512,0.025040367409445093,288.42983673706414
35,roberta-base,full,10000,5,None,amazon_p,0.9238,0.004868264577855238,170.62653117976842
36,roberta-base,full,10000,5,None,copa,0.71144,0.01016267681272998,670.7474909765378
37,roberta-base,full,10000,5,None,emotion,0.48612,0.03828015151485167,162.90902003730451
38,roberta-base,full,10000,5,None,figqa,0.5906398537477149,0.018577584627773522,701.7178617394787
39,roberta-base,full,10000,5,None,mrpc,0.6772869565217391,0.0184568275809259,772.5364591554111
40,roberta-base,full,10000,5,None,storycloze,0.7469421487603306,0.062326016289639734,459.1667764808797
41,roberta-base,full,10000,5,None,yahoo,0.38252,0.029536079631528624,289.34969601336513
