,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,1000,5,None,amazon_p,0.9148000000000002,0.01317952958189329,166.20190962242853
1,roberta-base,0,1000,5,None,copa,0.6956,0.007797435475847178,533.1819213090764
2,roberta-base,0,1000,5,None,emotion,0.4157,0.051145136621188136,125.00051743923306
3,roberta-base,0,1000,5,None,figqa,0.613893967093236,0.00641809494754735,547.0950972274035
4,roberta-base,0,1000,5,None,mrpc,0.6366376811594203,0.014518238462607358,769.1899835250383
5,roberta-base,0,1000,5,None,storycloze,0.7729338842975206,0.0110879403842965,439.18503622881826
6,roberta-base,0,1000,5,None,yahoo,0.35919999999999996,0.038421348232460566,227.59022476476116
7,roberta-base,32,1000,5,None,amazon_p,0.915,0.009746794344808973,165.37132062541278
8,roberta-base,32,1000,5,None,copa,0.6923999999999999,0.004979959839195498,534.1551511159323
9,roberta-base,32,1000,5,None,emotion,0.39580000000000004,0.03868397601074637,125.1579140257987
10,roberta-base,32,1000,5,None,figqa,0.6109689213893967,0.0038019441212222152,547.2670760659964
11,roberta-base,32,1000,5,None,mrpc,0.5415652173913044,0.1515087741110732,747.8562268888701
12,roberta-base,32,1000,5,None,storycloze,0.781198347107438,0.0149953604827783,442.57115010728876
13,roberta-base,32,1000,5,None,yahoo,0.33940000000000003,0.04441058432400998,227.6446695094528
14,roberta-base,200,1000,5,None,amazon_p,0.9124000000000001,0.010382677881933937,166.9043360681286
15,roberta-base,200,1000,5,None,copa,0.6948000000000001,0.0052153619241621235,535.6068501637635
16,roberta-base,200,1000,5,None,emotion,0.4157,0.051145136621188136,125.38622501399007
17,roberta-base,200,1000,5,None,figqa,0.593235831809872,0.026445111776031868,545.7110649525035
18,roberta-base,200,1000,5,None,mrpc,0.4297971014492753,0.11205183785520732,747.4150258921868
19,roberta-base,200,1000,5,None,storycloze,0.7799586776859504,0.015094668591118273,454.5092320289861
20,roberta-base,200,1000,5,None,yahoo,0.357,0.03730281490718898,227.32345212080176
21,roberta-base,500,1000,5,None,amazon_p,0.9066000000000001,0.012876334882255909,166.5737088489946
22,roberta-base,500,1000,5,None,copa,0.6948000000000001,0.0068702256149270734,535.1201870095991
23,roberta-base,500,1000,5,None,emotion,0.433,0.05003373861705719,125.72589243275584
24,roberta-base,500,1000,5,None,figqa,0.6171846435100549,0.00350462331127617,547.4789140075294
25,roberta-base,500,1000,5,None,mrpc,0.49971014492753624,0.13801606863944688,748.4512209000511
26,roberta-base,500,1000,5,None,storycloze,0.784297520661157,0.016242350419036006,458.39280573719617
27,roberta-base,500,1000,5,None,yahoo,0.30859999999999993,0.03935479640399631,228.49599527375776
28,roberta-base,1000,1000,5,None,amazon_p,0.9216000000000001,0.0027018512172212617,165.10303680929022
29,roberta-base,1000,1000,5,None,copa,0.694,0.006164414002968982,535.2375147379008
30,roberta-base,1000,1000,5,None,emotion,0.4304,0.04737800122419688,125.47457527991295
31,roberta-base,1000,1000,5,None,figqa,0.613893967093236,0.00641809494754735,546.0605104544745
32,roberta-base,1000,1000,5,None,mrpc,0.4935652173913043,0.15434100821847513,741.2208968291234
33,roberta-base,1000,1000,5,None,storycloze,0.7789256198347108,0.012799082327855227,448.0824065736977
34,roberta-base,1000,1000,5,None,yahoo,0.37679999999999997,0.004919349550499542,226.98920881278787
35,roberta-base,full,1000,5,None,amazon_p,0.9202,0.005718391382198324,165.21923583808294
36,roberta-base,full,1000,5,None,copa,0.6951999999999998,0.008074651695274547,531.148513294227
37,roberta-base,full,1000,5,None,emotion,0.44770000000000004,0.038683976010746364,125.40535235529642
38,roberta-base,full,1000,5,None,figqa,0.6137111517367458,0.006450558963209287,543.7085676950118
39,roberta-base,full,1000,5,None,mrpc,0.44382608695652176,0.10911001213913554,743.1051662677897
40,roberta-base,full,1000,5,None,storycloze,0.7752066115702478,0.0132013314468842,440.1001373450874
41,roberta-base,full,1000,5,None,yahoo,0.32399999999999995,0.045354161881794273,227.21889121903342
