,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-base,0,2000,5,None,amazon_p,0.9141999999999999,0.00920326029187484,166.02663509323574
1,roberta-base,0,2000,5,None,copa,0.7155999999999999,0.0053665631459995,532.1230854636058
2,roberta-base,0,2000,5,None,emotion,0.46099999999999997,0.040404207701673835,125.59192484730538
3,roberta-base,0,2000,5,None,figqa,0.5914076782449726,0.0060287504379675245,545.0870065352361
4,roberta-base,0,2000,5,None,mrpc,0.6275942028985507,0.03188827376608396,767.9259291795018
5,roberta-base,0,2000,5,None,storycloze,0.7756198347107437,0.03188619702665006,437.7723956358873
6,roberta-base,0,2000,5,None,yahoo,0.3066,0.02868449058289165,225.98762852509054
7,roberta-base,32,2000,5,None,amazon_p,0.923,0.006363961030678934,164.6389645034126
8,roberta-base,32,2000,5,None,copa,0.7140000000000001,0.0028284271247461922,531.8326244807175
9,roberta-base,32,2000,5,None,emotion,0.446,0.032422985673746955,124.89246907692775
10,roberta-base,32,2000,5,None,figqa,0.586654478976234,0.0016351502577695062,544.3171798120262
11,roberta-base,32,2000,5,None,mrpc,0.6233043478260869,0.05910400091157544,743.1249211180391
12,roberta-base,32,2000,5,None,storycloze,0.7958677685950414,0.031390342945188,441.85818649637184
13,roberta-base,32,2000,5,None,yahoo,0.2912,0.03244533864825577,226.36323797390827
14,roberta-base,200,2000,5,None,amazon_p,0.9178000000000001,0.008136338242723204,166.54448670539034
15,roberta-base,200,2000,5,None,copa,0.7144,0.0026076809620810618,532.5553930562962
16,roberta-base,200,2000,5,None,emotion,0.46099999999999997,0.040404207701673835,124.89528345208092
17,roberta-base,200,2000,5,None,figqa,0.5714808043875685,0.025662614096642503,544.3543249279594
18,roberta-base,200,2000,5,None,mrpc,0.5797101449275361,0.019292244976572417,746.2305185751584
19,roberta-base,200,2000,5,None,storycloze,0.7822314049586776,0.04463359891119681,452.69235096175606
20,roberta-base,200,2000,5,None,yahoo,0.3044,0.027609780875624493,226.5568607308599
21,roberta-base,500,2000,5,None,amazon_p,0.9141999999999999,0.008899438184514804,166.53216407630117
22,roberta-base,500,2000,5,None,copa,0.7139999999999999,0.004690415759823434,531.0225840847327
23,roberta-base,500,2000,5,None,emotion,0.4755,0.040179285707936614,124.71610865141994
24,roberta-base,500,2000,5,None,figqa,0.5945155393053017,0.004505944257355119,543.719447073621
25,roberta-base,500,2000,5,None,mrpc,0.6161159420289855,0.051472580963579984,747.0703278197188
26,roberta-base,500,2000,5,None,storycloze,0.7979338842975208,0.04146154230696154,457.12233995970473
27,roberta-base,500,2000,5,None,yahoo,0.2692,0.029516097302997223,226.4316080752068
28,roberta-base,1000,2000,5,None,amazon_p,0.9242000000000001,0.0013038404810405309,164.83928637907883
29,roberta-base,1000,2000,5,None,copa,0.7144,0.004560701700396555,529.1223377606424
30,roberta-base,1000,2000,5,None,emotion,0.475,0.03970988541912455,124.90935337082348
31,roberta-base,1000,2000,5,None,figqa,0.5914076782449726,0.0060287504379675245,541.970763423047
32,roberta-base,1000,2000,5,None,mrpc,0.6175072463768115,0.06138416019522743,738.2755362923601
33,roberta-base,1000,2000,5,None,storycloze,0.7902892561983471,0.03670627686867741,447.5680109700535
34,roberta-base,1000,2000,5,None,yahoo,0.31980000000000003,0.004919349550499542,226.4729407234814
35,roberta-base,full,2000,5,None,amazon_p,0.9182,0.008288546314040848,165.13874990968793
36,roberta-base,full,2000,5,None,copa,0.7135999999999999,0.0058991524815010556,528.957319947371
37,roberta-base,full,2000,5,None,emotion,0.48949999999999994,0.032422985673746955,124.80737955016271
38,roberta-base,full,2000,5,None,figqa,0.5906764168190127,0.006508586149512956,543.9114656475292
39,roberta-base,full,2000,5,None,mrpc,0.5943188405797101,0.035931274688426204,745.7786686986324
40,roberta-base,full,2000,5,None,storycloze,0.7760330578512397,0.033390309148480145,439.20874859846356
41,roberta-base,full,2000,5,None,yahoo,0.2802,0.033364651953826825,226.53213644362754
